cpu_available,mem_available,time
0.5,0.4995,0
0.5,0.4995,1000000
0.5,0.4995,2000000
0.5,0.4995,3000000
0.5,0.4995,4000000
0.5,0.4995,5000000
0.5,0.4995,6000000
0.5,0.4995,7000000
0.5,0.4995,8000000
0.5,0.4995,9000000
0.5,0.4995,10000000
0.5,0.4995,11000000
0.5,0.4995,12000000
0.5,0.4995,13000000
0.5,0.4995,14000000
0.5,0.4995,15000000
0.5,0.4995,16000000
0.5,0.4995,17000000
0.5,0.4995,18000000
0.5,0.4995,19000000
0.5,0.4995,20000000
0.5,0.4995,21000000
0.5,0.4995,22000000
0.5,0.4995,23000000
0.5,0.4995,24000000
0.5,0.4995,25000000
0.5,0.4995,26000000
0.5,0.4995,27000000
0.5,0.4995,28000000
0.5,0.4995,29000000
0.5,0.4995,30000000
0.5,0.4995,31000000
0.5,0.4995,32000000
0.5,0.4995,33000000
0.5,0.4995,34000000
0.5,0.4995,35000000
0.5,0.4995,36000000
0.5,0.4995,37000000
0.5,0.4995,38000000
0.5,0.4995,39000000
0.5,0.4995,40000000
0.5,0.4995,41000000
0.5,0.4995,42000000
0.5,0.4995,43000000
0.5,0.4995,44000000
0.5,0.4995,45000000
0.5,0.4995,46000000
0.5,0.4995,47000000
0.5,0.4995,48000000
0.5,0.4995,49000000
0.5,0.4995,50000000
0.5,0.4995,51000000
0.5,0.4995,52000000
0.5,0.4995,53000000
0.5,0.4995,54000000
0.5,0.4995,55000000
0.5,0.4995,56000000
0.5,0.4995,57000000
0.5,0.4995,58000000
0.5,0.4995,59000000
0.5,0.4995,60000000
0.5,0.4995,61000000
0.5,0.4995,62000000
0.5,0.4995,63000000
0.5,0.4995,64000000
0.5,0.4995,65000000
0.5,0.4995,66000000
0.5,0.4995,67000000
0.5,0.4995,68000000
0.5,0.4995,69000000
0.5,0.4995,70000000
0.5,0.4995,71000000
0.5,0.4995,72000000
0.5,0.4995,73000000
0.5,0.4995,74000000
0.5,0.4995,75000000
0.5,0.4995,76000000
0.5,0.4995,77000000
0.5,0.4995,78000000
0.5,0.4995,79000000
0.5,0.4995,80000000
0.5,0.4995,81000000
0.5,0.4995,82000000
0.5,0.4995,83000000
0.5,0.4995,84000000
0.5,0.4995,85000000
0.5,0.4995,86000000
0.5,0.4995,87000000
0.5,0.4995,88000000
0.5,0.4995,89000000
0.5,0.4995,90000000
0.5,0.4995,91000000
0.5,0.4995,92000000
0.5,0.4995,93000000
0.5,0.4995,94000000
0.5,0.4995,95000000
0.5,0.4995,96000000
0.5,0.4995,97000000
0.5,0.4995,98000000
0.5,0.4995,99000000
0.5,0.4995,100000000
0.5,0.4995,101000000
0.5,0.4995,102000000
0.5,0.4995,103000000
0.5,0.4995,104000000
0.5,0.4995,105000000
0.5,0.4995,106000000
0.5,0.4995,107000000
0.5,0.4995,108000000
0.5,0.4995,109000000
0.5,0.4995,110000000
0.5,0.4995,111000000
0.5,0.4995,112000000
0.5,0.4995,113000000
0.5,0.4995,114000000
0.5,0.4995,115000000
0.5,0.4995,116000000
0.5,0.4995,117000000
0.5,0.4995,118000000
0.5,0.4995,119000000
0.5,0.4995,120000000
0.5,0.4995,121000000
0.5,0.4995,122000000
0.5,0.4995,123000000
0.5,0.4995,124000000
0.5,0.4995,125000000
0.5,0.4995,126000000
0.5,0.4995,127000000
0.5,0.4995,128000000
0.5,0.4995,129000000
0.5,0.4995,130000000
0.5,0.4995,131000000
0.5,0.4995,132000000
0.5,0.4995,133000000
0.5,0.4995,134000000
0.5,0.4995,135000000
0.5,0.4995,136000000
0.5,0.4995,137000000
0.5,0.4995,138000000
0.5,0.4995,139000000
0.5,0.4995,140000000
0.5,0.4995,141000000
0.5,0.4995,142000000
0.5,0.4995,143000000
0.5,0.4995,144000000
0.5,0.4995,145000000
0.5,0.4995,146000000
0.5,0.4995,147000000
0.5,0.4995,148000000
0.5,0.4995,149000000
0.5,0.4995,150000000
0.5,0.4995,151000000
0.5,0.4995,152000000
0.5,0.4995,153000000
0.5,0.4995,154000000
0.5,0.4995,155000000
0.5,0.4995,156000000
0.5,0.4995,157000000
0.5,0.4995,158000000
0.5,0.4995,159000000
0.5,0.4995,160000000
0.5,0.4995,161000000
0.5,0.4995,162000000
0.5,0.4995,163000000
0.5,0.4995,164000000
0.5,0.4995,165000000
0.5,0.4995,166000000
0.5,0.4995,167000000
0.5,0.4995,168000000
0.5,0.4995,169000000
0.5,0.4995,170000000
0.5,0.4995,171000000
0.5,0.4995,172000000
0.5,0.4995,173000000
0.5,0.4995,174000000
0.5,0.4995,175000000
0.5,0.4995,176000000
0.5,0.4995,177000000
0.5,0.4995,178000000
0.5,0.4995,179000000
0.5,0.4995,180000000
0.5,0.4995,181000000
0.5,0.4995,182000000
0.5,0.4995,183000000
0.5,0.4995,184000000
0.5,0.4995,185000000
0.5,0.4995,186000000
0.5,0.4995,187000000
0.5,0.4995,188000000
0.5,0.4995,189000000
0.5,0.4995,190000000
0.5,0.4995,191000000
0.5,0.4995,192000000
0.5,0.4995,193000000
0.5,0.4995,194000000
0.5,0.4995,195000000
0.5,0.4995,196000000
0.5,0.4995,197000000
0.5,0.4995,198000000
0.5,0.4995,199000000
0.5,0.4995,200000000
0.5,0.4995,201000000
0.5,0.4995,202000000
0.5,0.4995,203000000
0.5,0.4995,204000000
0.5,0.4995,205000000
0.5,0.4995,206000000
0.5,0.4995,207000000
0.5,0.4995,208000000
0.5,0.4995,209000000
0.5,0.4995,210000000
0.5,0.4995,211000000
0.5,0.4995,212000000
0.5,0.4995,213000000
0.5,0.4995,214000000
0.5,0.4995,215000000
0.5,0.4995,216000000
0.5,0.4995,217000000
0.5,0.4995,218000000
0.5,0.4995,219000000
0.5,0.4995,220000000
0.5,0.4995,221000000
0.5,0.4995,222000000
0.5,0.4995,223000000
0.5,0.4995,224000000
0.5,0.4995,225000000
0.5,0.4995,226000000
0.5,0.4995,227000000
0.5,0.4995,228000000
0.5,0.4995,229000000
0.5,0.4995,230000000
0.5,0.4995,231000000
0.5,0.4995,232000000
0.5,0.4995,233000000
0.5,0.4995,234000000
0.5,0.4995,235000000
0.5,0.4995,236000000
0.5,0.4995,237000000
0.5,0.4995,238000000
0.5,0.4995,239000000
0.5,0.4995,240000000
0.5,0.4995,241000000
0.5,0.4995,242000000
0.5,0.4995,243000000
0.5,0.4995,244000000
0.5,0.4995,245000000
0.5,0.4995,246000000
0.5,0.4995,247000000
0.5,0.4995,248000000
0.5,0.4995,249000000
