cpu_requested,cpu_usage,disk,disk_io_time,disk_space,mem_requested,mem_usage,number_of_task_requested,time
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,83532138
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,111418904
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,121146981
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,210137889
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,275848422
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,286902680
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,290116947
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,294681770
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,301528876
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,306461821
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,331765108
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,349297666
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,361393534
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,383817226
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,404058066
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,497670944
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,521834885
0.27504799999999996,0.0,0.000794465,0.0,0.0,0.20877400000000002,0.0,5,581305672
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,649830681
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,715496062
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,806305129
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,847296650
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,861265968
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,861520152
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,888120536
0.27504799999999996,0.21250495999999996,0.000794465,0.020262059000000002,0.0013665906999999998,0.20877400000000002,0.34045600000000004,5,892954011
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,903514473
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,928167619
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,935706043
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,1046016780
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,1061537939
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,1093650727
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,1113837748
0.27504799999999996,0.21931636999999998,0.000794465,0.019210816999999998,0.0013703707,0.20877400000000002,0.35315989999999997,5,1116066766
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1203791057
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1238733529
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1280120325
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1289604603
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1291209877
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1319217865
0.27504799999999996,0.18477855999999995,0.000794465,0.011456106,0.0013627843999999998,0.20877400000000002,0.3282147,5,1322946968
0.27504799999999996,0.16771855999999996,0.000794465,0.0038191060000000005,0.0013618306999999999,0.20877400000000002,0.32559770000000005,5,1397275812
0.27504799999999996,0.16771855999999996,0.000794465,0.0038191060000000005,0.0013618306999999999,0.20877400000000002,0.32559770000000005,5,1410798259
0.27504799999999996,0.16771855999999996,0.000794465,0.0038191060000000005,0.0013618306999999999,0.20877400000000002,0.32559770000000005,5,1434014898
0.27504799999999996,0.16771855999999996,0.000794465,0.0038191060000000005,0.0013618306999999999,0.20877400000000002,0.32559770000000005,5,1438766637
0.27504799999999996,0.16771855999999996,0.000794465,0.0038191060000000005,0.0013618306999999999,0.20877400000000002,0.32559770000000005,5,1446803409
0.27504799999999996,0.16771855999999996,0.000794465,0.0038191060000000005,0.0013618306999999999,0.20877400000000002,0.32559770000000005,5,1499921631
